日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/02/23,臺股期貨,投信,745,5073694,417,2834838,328,2238856,33726,229141189,4483,30458399,29243,198682790
2026/02/23,臺股期貨,外資及陸資,77230,525561248,82494,561540556,-5264,-35979308,20336,138167388,51188,347790987,-30852,-209623599
2026/02/24,臺股期貨,自營商,9753,67329991,10557,72877912,-804,-5547921,4218,29406642,8458,58959431,-4240,-29552789
2026/02/24,臺股期貨,投信,1025,7139727,89,620364,936,6519363,34649,241413443,4470,31144278,30179,210269165
2026/02/24,臺股期貨,外資及陸資,63394,436267624,61956,426753888,1438,9513735,23438,163302679,52810,367965869,-29372,-204663190
2026/02/25,臺股期貨,自營商,12782,90374180,11998,84858528,784,5515652,4705,33419062,8095,57493616,-3390,-24074554
2026/02/25,臺股期貨,投信,958,6798713,100,709615,858,6089098,35374,251077577,4337,30783159,31037,220294418
2026/02/25,臺股期貨,外資及陸資,67330,475223392,73683,520191236,-6353,-44967843,22000,156155062,57753,409950230,-35753,-253795168
2026/02/26,臺股期貨,自營商,7495,53345121,8001,56946643,-506,-3601522,4481,31938362,8310,59221555,-3829,-27283193
2026/02/26,臺股期貨,投信,309,2201256,98,697808,211,1503448,35582,253422120,4334,30867615,31248,222554505
2026/02/26,臺股期貨,外資及陸資,57709,410603551,58154,413822835,-445,-3219284,21917,156100571,58085,413725603,-36168,-257625032
2026/03/02,臺股期貨,自營商,14171,100037587,12106,85411124,2065,14626463,6178,43562584,7966,56183376,-1788,-12620792
2026/03/02,臺股期貨,投信,404,2848010,207,1458943,197,1389067,35847,252635317,4402,31023535,31445,221611782
2026/03/02,臺股期貨,外資及陸資,85902,606121500,89427,631042453,-3525,-24920954,18093,127517395,59367,418436641,-41274,-290919246
2026/03/03,臺股期貨,自營商,18604,129529112,16774,116683544,1830,12845567,7434,51076935,7374,50682167,60,394768
2026/03/03,臺股期貨,投信,278,1909853,1030,7080800,-752,-5170947,35246,242006085,4553,31261809,30693,210744276
2026/03/03,臺股期貨,外資及陸資,114050,795223006,113127,789096598,923,6126408,19351,132877537,59772,410471235,-40421,-277593698
2026/03/04,臺股期貨,自營商,32058,213635782,27160,180812414,4898,32823368,11130,73199323,6059,39860359,5071,33338964
2026/03/04,臺股期貨,投信,726,4776683,870,5723200,-144,-946517,35473,233206597,4924,32371361,30549,200835236
2026/03/04,臺股期貨,外資及陸資,172476,1149763691,173748,1158737190,-1272,-8973499,19134,125818166,60767,399554348,-41633,-273736182
2026/03/05,臺股期貨,自營商,11679,78726842,13372,90112449,-1693,-11385607,9673,65158992,6273,42261053,3400,22897939
2026/03/05,臺股期貨,投信,1900,12794467,358,2417878,1542,10376589,36769,247573031,4678,31497910,32091,216075121
2026/03/05,臺股期貨,外資及陸資,118598,798157017,118242,795852015,356,2305002,15797,106392015,56931,383389822,-41134,-276997807
2026/03/06,臺股期貨,自營商,12061,80775672,12536,83984944,-475,-3209272,9345,63016877,6425,43329855,2920,19687022
2026/03/06,臺股期貨,投信,413,2784025,138,930849,275,1853176,37044,249698786,4678,31532527,32366,218166259
2026/03/06,臺股期貨,外資及陸資,123851,828183200,121647,813515052,2204,14668148,16819,113397231,55749,375837092,-38930,-262439861
2026/03/09,臺股期貨,自營商,20634,132293856,18585,119274359,2049,13019497,10099,64445800,5096,32521587,5003,31924213
2026/03/09,臺股期貨,投信,1639,10488304,598,3823789,1041,6664515,38564,246053746,5157,32903723,33407,213150023
2026/03/09,臺股期貨,外資及陸資,134512,870548372,136124,881049867,-1612,-10501495,13164,84012806,53626,342186688,-40462,-258173882
2026/03/10,臺股期貨,自營商,11867,77747600,13757,90138154,-1890,-12390554,9261,60619343,6165,40352676,3096,20266667
2026/03/10,臺股期貨,投信,1714,11218805,88,574667,1626,10644138,39856,260793750,4823,31558818,35033,229234932
2026/03/10,臺股期貨,外資及陸資,112116,732129109,110388,721221221,1728,10907888,14595,95535457,51451,336720904,-36856,-241185447
2026/03/11,臺股期貨,自營商,12693,85251414,13709,92025870,-1016,-6774456,8618,58638618,6488,44142860,2130,14495758
2026/03/11,臺股期貨,投信,1547,10532490,9,61220,1538,10471271,41108,279567286,4537,30855230,36571,248712056
2026/03/11,臺股期貨,外資及陸資,97798,653295677,101921,681097070,-4123,-27801393,14944,101669499,55902,380264558,-40958,-278595059
2026/03/12,臺股期貨,自營商,12602,84798614,10277,69133211,2325,15665402,10261,68832055,5728,38420690,4533,30411365
2026/03/12,臺股期貨,投信,147,993815,362,2426200,-215,-1432385,41026,274972662,4670,31300208,36356,243672454
